,A,B,Ratio
1395,Bachelor of Engineering (Chemical and Biomolecular)(Honours),Engineering ,100
1396,Bachelor of Engineering (Civil Engineering),Engineering ,100
1397,Bachelor of Engineering (Civil),Engineering ,100
1398,Bachelor of Engineering (Civil) (Honours),Engineering ,100
1399,Bachelor of Engineering (Civil) (Honours) ,Engineering ,100
1400,Bachelor of Engineering (Computer and Network Systems) (Honours),Engineering ,100
1401,Bachelor of Engineering (Computer and Network Systems) (Honours),Systems,100
1402,Bachelor of Engineering (Electrical),Electrical,100
1403,Bachelor of Engineering (Electrical),Engineering ,100
1404,Bachelor of Engineering (Electrical) (Honours),Electrical,100
1405,Bachelor of Engineering (Electrical) (Honours),Engineering ,100
1406,Bachelor of Engineering (Electronics) (Honours),Engineering ,100
1407,Bachelor of Engineering (Engineering Science),Engineering ,100
1408,Bachelor of Engineering (Engineering Science),Science,100
1409,Bachelor of Engineering (Flexible First Year),Engineering ,100
1410,Bachelor of Engineering (Honours),Engineering ,100
1411,Bachelor of Engineering (Honours) (BE (Hons)),Engineering ,100
1412,Bachelor of Engineering (Honours) (Chemical and Biological),Engineering ,100
1413,Bachelor of Engineering (Honours) (Civil),Engineering ,100
1414,Bachelor of Engineering (Honours) (Electrical and Electronic),Electrical,100
1415,Bachelor of Engineering (Honours) (Electrical and Electronic),Engineering ,100
1416,Bachelor of Engineering (Honours) (Mechanical),Engineering ,100
1417,Bachelor of Engineering (Honours) (Mechanical),Mechanical,100
1418,Bachelor of Engineering (Honours) (Software Engineering),Engineering ,100
1419,Bachelor of Engineering (Honours) (Software Engineering),Software,100
1420,Bachelor of Engineering (Honours) (Software),Engineering ,100
1421,Bachelor of Engineering (Honours) (Software),Software,100
1422,Bachelor of Engineering (Hons) - Electronic,Engineering ,100
1423,Bachelor of Engineering (Maritime) (Honours),Engineering ,100
1424,Bachelor of Engineering (Mechanical),Engineering ,100
1425,Bachelor of Engineering (Mechanical),Mechanical,100
1426,Bachelor of Engineering (Mechanical) (Honours),Engineering ,100
1427,Bachelor of Engineering (Mechanical) (Honours),Mechanical,100
1428,Bachelor of Engineering (Robotics) (Honours),Engineering ,100
1429,Bachelor of Engineering (Software),Engineering ,100
1430,Bachelor of Engineering (Software),Software,100
1431,Bachelor of Engineering (Software) (Honours),Engineering ,100
1432,Bachelor of Engineering (Software) (Honours),Software,100
1433,Bachelor of Engineering Civil (Honours),Engineering ,100
1434,Bachelor of Engineering Honours (Aeronautical Engineering),Engineering ,100
1435,Bachelor of Engineering Honours (Aeronautical),Engineering ,100
