,A,B,Ratio
4966,"MEng, BEng Civil Engineering with Project Management",Engineering ,100
4967,"MEng, BEng Civil Engineering with Project Management",Management,100
4968,"MEng, BEng Electronic and Electrical Engineering",Electrical,100
4969,"MEng, BEng Electronic and Electrical Engineering",Engineering ,100
4970,"MEng, BEng Mechanical Engineering",Engineering ,100
4971,"MEng, BEng Mechanical Engineering",Mechanical,100
4972,"MEng, BEng Medical Engineering",Engineering ,100
4973,"MEng, BEng Petroleum Engineering",Engineering ,100
4974,MFA in Graphic and Web Design,Design,100
4975,MHA Health Administration,Administration,100
4976,Migration and Global Development,Global,100
4977,MLitt Digital Journalism,Digital,100
4978,MLitt Digital Journalism,Journalism,100
4979,MLitt Media & Communication,Media,100
4980,MMet Advanced Metallurgy,Metallurgy,100
4981,Molecular Genetics (College of Agriculture & Life Sciences),Genetics,100
4982,Molecular Microbiology,Microbiology,100
4983,"Money, Banking and Finance",Banking,100
4984,"Money, Banking and Finance",Finance,100
4985,"Money, Banking and Finance ",Banking,100
4986,"Money, Banking and Finance ",Finance,100
4987,MPA Health Administration,Administration,100
4988,MPA Health Care Administration,Administration,100
4989,MPA Public Administration,Administration,100
4990,MPA Public Administration - Health Care Administration ,Administration,100
4991,MPA Public Administration - Public Management ,Administration,100
4992,MPA Public Administration - Public Management ,Management,100
4993,Mpharm,Pharmacy,71
4994,MPharm  Pharmacy,Pharmacy,100
4995,MPharm (Hons)  Pharmacy,Pharmacy,100
4996,MPharm (Hons) Pharmacy,Pharmacy,100
4997,MPharm Pharmacy,Pharmacy,100
4998,MPhys (Hons) Astrophysics,Astrophysics,100
4999,MPhys (Hons) Physics with Quantum Technologies,Physics,100
5000,MPhys Physics and Astronomy,Physics,100
5001,MPhys Physics and Astronomy,Astronomy,100
5002,MPsych (Hons) Advanced Psychology,Psychology,100
5003,MRes Ecology and Environment,Ecology,100
5004,MRes Ecology and Environment,Environment,100
5005,MRes Evolutionary Biology,Biology,100
5006,MRes Neuroscience,Neuroscience,100
5007,MRes Plant and Microbial Biology,Biology,100
5008,MS Biology - Medical Microbiology,Biology,100
5009,MS Biology - Medical Microbiology,Microbiology,100
5010,MS Biology - Molecular-Cellular Biology,Biology,100
5011,MS Biomedical Science  ,Science,100
5012,MS Business Information Technology,Business,100
5013,MS Business Information Technology,Information,100
5014,MS Business Information Technology,Technology,100
5015,MS Childhood/Special Education,Childhood,100
5016,MS Childhood/Special Education,Education,100
5017,MS Civil and Environmental Engineering,Engineering ,100
5018,MS Civil Engineering,Engineering ,100
5019,MS Clinical Laboratory Science,Science,100
5020,MS Communication and Media - Digital Media,Digital,100
5021,MS Communication and Media - Digital Media,Media,100
5022,MS Communication and Media - Strategic  Communication,Media,100
5023,MS Communication and Media - Strategic Communication,Media,100
5024,MS Computer Science,Science,100
5025,MS Computer Science - Professional,Science,100
5026,MS Computer Science - Thesis,Science,100
5027,MS Data Analytics & Strategic Business Intelligence,Analytics,100
5028,MS Data Analytics & Strategic Business Intelligence,Business,100
5029,MS Data Analytics & Strategic Business Intelligence,Data,100
5030,MS Data Analytics & Strategic Business Intelligence,Intelligence,100
5031,MS Digital Media Design - Web Design Technology,Design,100
5032,MS Digital Media Design - Web Design Technology,Digital,100
5033,MS Digital Media Design - Web Design Technology,Media,100
5034,MS Digital Media Design - Web Design Technology,Technology,100
5035,MS Early Childhood Education ,Childhood,100
5036,MS Early Childhood Education ,Education,100
5037,MS Earth Science,Science,100
5038,MS Electrical Engineering,Electrical,100
5039,MS Electrical Engineering,Engineering ,100
5040,MS Engineering Management,Engineering ,100
5041,MS Engineering Management,Management,100
5042,MS Environmental Science,Science,100
5043,MS Exercise Science - Exercise Physiology,Science,100
5044,MS Exercise Science - Fitness for Special Populations,Science,100
5045,MS Exercise Science - Sports Nutrition,Nutrition,100
5046,MS Exercise Science - Sports Nutrition,Science,100
5047,MS Exercise Science - Strength and Conditioning,Science,100
5048,MS Human Resource Management,Management,100
5049,MS Information Systems,Information,100
